,City,Country,Date,Latitude,Longitude,Maximum Temperature,Wind Speed,Humidity,Cloudiness
280,inhambane,MZ,1605238342,-23.86,35.38,75.2,4.7,50,40
281,baker city,US,1605238342,44.77,-117.83,33.8,12.75,69,90
282,koumac,NC,1605238342,-20.57,164.28,81.37,5.44,62,12
283,akyab,MM,1605238342,20.15,92.9,83.5,5.1,59,0
284,bucerias,MX,1605238343,20.75,-105.33,77.0,2.24,78,5
285,ligayan,PH,1605238343,4.65,119.47,83.86,4.52,69,96
286,shache,CN,1605238343,38.42,77.24,46.92,1.41,38,25
287,esperance,AU,1605238257,-33.87,121.9,69.8,17.22,68,40
288,tura,IN,1605238344,25.52,90.22,79.88,2.53,55,0
289,sorland,NO,1605238344,67.67,12.69,47.59,20.67,82,100
290,lalibela,ET,1605238344,12.03,39.03,50.68,5.77,56,0
291,rawson,AR,1605238277,-43.3,-65.1,66.0,15.23,54,84
292,adrar,MR,1605238344,20.5,-10.07,74.19,6.15,20,3
293,zelenoborsk,RU,1605238345,61.47,64.03,19.11,9.57,94,100
294,manado,ID,1605238345,1.49,124.85,89.6,5.82,62,20
295,rock sound,BS,1605238345,24.9,-76.2,79.68,15.75,83,100
296,timra,SE,1605238345,62.49,17.33,41.0,5.82,86,100
297,ola,RU,1605238345,59.58,151.28,10.65,7.87,86,7
298,biltine,TD,1605238346,14.53,20.92,75.02,19.22,20,2
299,ponta delgada,PT,1605238346,37.73,-25.67,59.0,3.36,77,40
300,rundu,NA,1605238346,-17.93,19.77,67.51,3.78,73,100
301,kununurra,AU,1605238104,-15.77,128.73,98.6,13.87,42,48
302,zonguldak,TR,1605237753,41.25,31.83,43.05,2.44,79,41
303,kavieng,PG,1605238347,-2.57,150.8,85.14,5.19,66,68
304,kurilsk,RU,1605238347,45.23,147.88,48.6,14.36,85,56
305,twin falls,US,1605238347,42.35,-114.64,33.8,9.31,55,1
306,diamantino,BR,1605238347,-14.41,-56.45,74.12,1.7,82,71
307,tabou,CI,1605238348,4.42,-7.35,77.81,5.53,87,34
308,kamaishi,JP,1605238348,39.27,141.88,50.0,2.24,66,75
309,burnie,AU,1605238348,-41.07,145.92,60.01,11.99,60,64
310,pidvynohradiv,UA,1605238348,48.14,22.97,43.0,4.7,81,100
311,iquitos,PE,1605238348,-3.75,-73.25,77.0,1.12,88,40
312,ngunguru,NZ,1605238349,-35.62,174.5,65.44,10.33,68,14
313,estelle,US,1605238349,29.85,-90.11,68.0,6.11,80,0
314,vanavara,RU,1605238349,60.34,102.28,19.6,3.06,97,100
315,batemans bay,AU,1605238349,-35.72,150.18,71.01,5.01,61,63
316,vermilion,US,1605238349,40.17,-87.75,45.0,5.82,70,90
317,vetlanda,SE,1605238350,57.43,15.08,42.8,3.36,100,100
318,areosa,PT,1605238350,41.72,-8.86,61.0,11.41,76,0
319,sao gabriel da cachoeira,BR,1605238350,-0.13,-67.09,74.7,1.95,97,87
320,la ronge,CA,1605237753,55.1,-105.28,6.8,8.05,77,93
321,poum,NC,1605238350,-20.23,164.02,78.37,17.05,77,0
322,morondava,MG,1605238310,-20.28,44.28,75.16,6.44,76,0
323,walvis bay,NA,1605238351,-22.96,14.51,60.01,8.05,87,19
324,mecca,SA,1605238274,21.43,39.83,75.15,4.43,55,23
325,sinop,TR,1605238351,41.77,34.87,42.94,5.44,63,0
326,yonibana,SL,1605238352,8.44,-12.24,71.85,0.22,97,0
327,puerto escondido,MX,1605238352,15.85,-97.07,80.6,3.36,74,75
328,hays,US,1605238352,30.05,-98.03,64.99,4.76,89,0
329,iguape,BR,1605238352,-24.71,-47.56,70.56,5.66,94,93
330,nome,US,1605238353,64.5,-165.41,30.0,5.32,92,90
331,rakovski,BG,1605238353,42.3,24.97,39.99,6.93,80,75
332,chillan,CL,1605238160,-36.61,-72.1,59.0,4.7,77,100
333,shemgang,BT,1605238353,27.22,90.66,66.67,4.5,36,0
334,alyangula,AU,1605238353,-13.85,136.42,95.0,11.41,50,1
335,clyde river,CA,1605238354,70.47,-68.59,3.2,23.04,71,40
336,pringsewu,ID,1605238354,-5.36,104.97,88.97,4.81,59,97
337,alexander city,US,1605238125,32.94,-85.95,57.2,3.36,100,1
338,tombouctou,ML,1605238354,20.0,-3.0,71.92,7.56,21,0
339,plettenberg bay,ZA,1605238354,-34.05,23.37,70.43,3.71,46,0
340,bambous virieux,MU,1605238354,-20.34,57.76,79.0,3.36,88,40
341,lompoc,US,1605238113,34.64,-120.46,53.6,3.36,87,90
342,abeche,TD,1605238355,13.83,20.83,75.49,17.85,20,21
343,ust-ishim,RU,1605238355,57.69,71.17,21.92,5.1,97,100
344,antofagasta,CL,1605238355,-23.65,-70.4,60.8,11.41,77,40
345,imbituba,BR,1605238210,-28.24,-48.67,71.6,3.76,100,75
346,umuarama,BR,1605238356,-23.77,-53.33,70.03,1.95,84,1
347,vostok,RU,1605238356,46.49,135.88,24.15,12.71,98,100
348,kutum,SD,1605238356,14.2,24.67,59.5,11.81,34,7
349,carballo,ES,1605238356,43.21,-8.69,53.6,4.7,87,0
350,manta,EC,1605238356,-0.95,-80.73,73.4,13.87,78,0
351,sao joao de pirabas,BR,1605238357,-0.77,-47.18,78.64,6.31,85,64
352,grand gaube,MU,1605238357,-20.01,57.66,79.0,5.99,72,1
353,mercedes,AR,1605238243,-34.65,-59.43,64.0,4.0,80,49
354,laparay,PH,1605238358,7.4,122.82,82.99,3.13,71,45
355,shiloh,US,1605238358,38.56,-89.9,51.8,7.96,53,90
356,jalu,LY,1605238358,29.03,21.55,61.11,7.11,84,17
357,porto santo,PT,1605238358,33.07,-16.34,68.0,3.36,88,75
358,quatre cocos,MU,1605238359,-20.21,57.76,79.0,3.36,88,40
359,yamada,JP,1605238359,39.47,141.95,59.65,8.25,53,46
360,eureka,US,1605238067,40.8,-124.16,46.99,1.01,47,33
361,faya,SA,1605238359,18.39,42.45,57.2,1.3,100,20
362,dustlik,UZ,1605238359,40.52,68.04,42.4,1.32,61,14
363,cap malheureux,MU,1605238359,-19.98,57.61,79.0,5.99,72,0
364,along,IN,1605238360,28.17,94.77,75.42,0.34,37,0
365,kaeo,NZ,1605238360,-35.1,173.78,66.27,5.61,61,26
366,pizarro,CO,1605238360,4.95,-77.37,76.28,7.34,90,100
367,taybad,IR,1605238360,34.74,60.78,45.66,14.61,72,100
368,anadyr,RU,1605238222,64.75,177.48,24.8,2.24,79,40
369,carbonia,IT,1605238361,39.17,8.52,57.2,2.24,82,40
370,havoysund,NO,1605238361,71.0,24.66,39.2,19.46,68,0
371,winnemucca,US,1605238361,40.97,-117.74,26.6,5.82,79,1
372,arcata,US,1605238223,40.87,-124.08,46.99,5.41,87,90
373,conakry,GN,1605238361,9.54,-13.68,80.38,8.23,81,0
374,vaitape,PF,1605238362,-16.52,-151.75,80.74,8.48,73,62
375,hambantota,LK,1605238362,6.12,81.12,82.4,4.7,94,40
376,kasulu,TZ,1605238362,-4.58,30.1,63.37,0.96,88,11
377,sao raimundo nonato,BR,1605238362,-9.02,-42.7,76.23,0.49,57,0
378,yulara,AU,1605238362,-25.24,130.99,96.8,5.82,7,0
379,georgetown,MY,1605238363,5.41,100.34,87.8,5.82,79,20
380,inta,RU,1605238363,66.03,60.17,-3.75,2.44,92,12
381,conceicao do araguaia,BR,1605238363,-8.26,-49.26,76.01,1.19,84,0
